,Title,Date,Content,preprocessed_content
97,Public utility check enhanced,"APRIL 9, 2023","  City officials enhanced Ordinance 12, s. 2013 that established the Public Utilities Monitoring Program for government offices and buildings and provided incentives for the efficient use and reduction in the consumption of water and electricity.
In compliance to the directive of the Department of Energy for the mandatory implementation of energy and conservation measures to all government entities to realize at least 10 percent savings and strict implementation of the government energy management program, the city council passed Ordinance 27, s. 2023 that establishes a public utilities monitoring program for electricity and water consumption for government offices and buildings in the city.
The program shall cover all public offices and buildings owned by the local government and other government buildings, including schools where the public utilities such as electricity and water are paid for by the city.
The ordinance created a technical working group in the local government for the implementation of the program which shall be chaired by the City General Services officer and co-chaired by the chairperson of the city council committee on public utilities, transportation and traffic legislations.
The TWG shall be composed of the City Building Official, City Environment and Parks Management officer, City Treasurer; and a representative each from the Department of Education, Department of the Interior and local government, DOE, private sector, and any other member to be appointed by the city mayor.
The ordinance tasked the administrative officers of every office/agency/school to ensure energy saving measures or cost reduction of electricity consumption such as, but not limited to, for electricity: turn of lights and equipment when not in use, use available sunlight to illuminate work spaces, replace incandescent light bulbs with light emitting diodes fluorescent lamps/bulbs, regulate the use of air conditioning units, purchase energy saving office equipment and avoid cooking of food electricity, secret for boiling water for coffee/tea/other hot drinks; for water; use of eco-flush system on toilet fixtures;
Use of gravity-water line system, use of rainwater harvesting facility, and use of auto-shut off faucet; some conservation strategies/tips that can be applied; maximizing natural lighting and ventilation during design stage of any building project; desktop computers are programmed to sleep when not in use in all offices; centralized printing station; regular maintenance check for possible leaks of air conditioning system, regular cleaning of inlet valves; and use of rechargeable tools and equipment.
Further, administrative officers of every office/agency/school shall make a monthly report of its electric, water, and Internet consumption to be submitted to the GSO.
The ordinance mandated the GSO to make a semi-annual report of each office/building/school to be submitted to the TWG which shall study the reports and make the recommendations to the city council and the City Mayor. – PIO release  ",city ordinance public utilities monitoring program government offices buildings use reduction consumption water electricity department energy implementation energy conservation measures government implementation government energy management program city council ordinance public utilities monitoring program electricity water consumption government offices buildings city program shall public offices buildings local government government buildings public utilities electricity water city ordinance local government implementation program shall chaired city officer chaired city council public utilities twg shall city building city management officer city department department local government city mayor ordinance administrative officers every office agency school energy saving measures reduction electricity consumption electricity equipment use use light bulbs light bulbs use air conditioning energy saving office equipment electricity water water use system use water system use use conservation building use offices regular air conditioning system regular use equipment administrative officers every office agency school shall make report water consumption submitted gso ordinance gso make report office building school submitted twg shall make city council city mayor
98,Private sector needed in disaster risk financing,"APRIL 9, 2023","  The Philippines is looking at more ways to improve its financial resilience to disasters, including enhancing the involvement of the private sector in disaster risk financing (DRF), National Treasurer Rosalia de Leon said. “Engaging our private sector to be more involved in disaster risk finance helps to minimize the burden on the national government, diversify and spread the risk and deepen the insurance sector market,” she said in a recent webinar on advancing the financial resilience agenda. Citing the 2015 AIR risk model, de Leon said average annual loss due to typhoons and earthquakes has reached P177 billion or over $3.2 billion, which is nearly one percent of the country’s gross domestic product. “Disasters arising from natural hazards have resulted in a large fiscal impact in our economic system,” she said. “The large impact on disasters in my country makes it imperative for us to be more proactive managers of our risk.” De Leon said the country likewise is looking to make risk transfer programs more accessible to stakeholders. “Constant dialogues with local and international partners, the regulators and development partners are being done to develop and implement more accessible risk transfer mechanisms for both public and private sector,” she added. – Press release  ",looking financial resilience disasters private sector disaster risk national leon said private sector disaster risk national risk sector said financial resilience risk leon said billion billion country disasters large impact said large impact disasters country risk leon said country looking risk transfer accessible partners partners accessible risk transfer private sector
99,HONEST LEARNERS,"APRIL 9, 2023","HONEST LEARNERS — The Besao Municipal Police Station in Mountain Province awarded certificates of appreciation and cash reward to six honest pupils of Besao Central School during the flag raising rites on April 4. The certificates were given to Kenjie Bolinget, Raymar Waylang, and Trixie Jim Cogasi, for returning a missing cellphone they found on March 21 while Leyan Beyden, Jerick Bayanos, and Winston Jr Beyden for returning a wallet they found on March 24. — Besao MPS photo   ",honest besao certificates honest besao certificates returning found beyden beyden returning found besao
100,"Digital tech to cut on trade costs, pushed","APRIL 9, 2023","  Countries can implement a menu of policy options to reduce trade costs, including digital technologies, and boost exports, according to a report of the World Bank. “The fading momentum of global trade growth is diminishing its role as an engine of output and productivity growth. Countries therefore need to find new ways to reap the benefits from trade. One possibility is to cut trade costs to boost exports and encourage imports in a manner that is growth-enhancing,” it said in a report, Falling Long-Term Growth Prospects: Trends, Expectations, and Policies. WB said digital technologies may eventually lower trade costs behind the border, at the border, and between borders, including by improving transparency and price discovery as well as information flows between exporters, shippers, and country authorities. “This may particularly support global supply chains,” it said. Citing earlier reports, the WB said robotics can help accelerate port procedures while artificial intelligence can help lower logistics costs by optimizing route planning, storage, and inventory, as well as by improving tracking and monitoring. The report said 3D printing can help shorten and localize supply chains, thus reducing the environmental footprint of trade; blockchain technology can help reduce time spent in customs, especially for time-sensitive goods, facilitate cross-border payments by increasing transparency and credibility, and enhance information sharing within supply chains. Such technologies may disproportionately benefit small and medium-sized enterprises that currently face higher trade costs than large enterprises, it added. The report said comprehensive packages of reforms have often been successful in reducing trade costs. Such packages can include trade facilitation measures; bilateral and multilateral agreements aimed at deeper trade integration; and coordinated efforts to streamline trade procedures and processes at and behind the border, it said. The WB also cited improved domestic infrastructure; increased competition in shipping and logistics; reduced corruption; simplified trade-related procedures and regulations; and the harmonization or mutual recognition of standards. – Press release  ",countries reduce trade costs including digital technologies boost exports report global trade growth growth countries trade trade costs boost exports growth said report growth said digital technologies lower trade costs behind border border including improving transparency well information global supply chains said said help procedures help lower logistics costs well improving report said help supply chains reducing trade help reduce time time border transparency information supply chains technologies enterprises trade costs enterprises report said packages reducing trade costs packages trade trade trade procedures behind border said logistics trade procedures
101,FOR INCLUSIVITY,"APRIL 9, 2023","FOR INCLUSIVITY — Camp John Hay Leisure Management Inc. General Manager Ramon Cabrera and Mayor Benjamin Magalong, along with officials of Autism Society Philippines, city officials, Persons with Disability Affairs Office, teachers of SPED Center, and parents and caregivers of people with autism, graced the opening of the exhibit featuring the paintings of people with autism at the Manor as part of the celebration of 2023 World Autism Day, which carries the theme, “Transformation towards a neuro-inclusive world for all.” — Joseph Zambrano   ",officials autism officials people autism people autism world autism world
102,Ifugao district jail offers 1st child-friendly visitors’ area,"APRIL 9, 2023","  Child-friendly visitation area in jail? Yes, there’s one at the Bureau of Jail Management and Penology-Ifugao District Jail (IDJ) at Tiger Hill in Banguigue, Kiangan. The IDJ child-friendly visitor’s area is the first of its kind in the Cordillera. BJMP-Cordillera Director Jail Chief Superintendent Revelina Sindol, IDJ Chief Inspector Gannisi Olosan, Gov. Jerry Dalipog, Vice Gov. Glenn Prudenciano, and First Ifugao Provincial Mobile Force Company Acting Force Commander Police Lt/Col. Cesar Mallong led the inauguration of the visitor’s area on March 21.  Rev. Father Felix Bay-ong blessed the facility. The area is a separate section of the jail located in front of the IDJ building. It has child-friendly amenities such as toys, games, and art supplies to help children feel comfortable and entertained during their visit. The walls were also decorated with bright colors, murals, and other child-friendly designs to create a warm and inviting atmosphere. Funds for the construction came from a raffle-for-a-cause conducted by the IDJ in December 2022. With the new facility, the IDJ can provide an appealing and nurturing space for children who will visit their parents. The BJMP is mandated to provide humane safekeeping and development of PDLs in all jails nationwide, and to maintain ties with their families, PDLs are allowed to receive visitors. Prisons though convey negative impressions among children visiting their incarcerated parent or guardian. To address such concern, the BJMP issued Memorandum Circular 115 for the establishment of the visitor’s area that is conducive to children and visitors. Sindol lauded the IDJ for establishing a conducive visitor’s area and thanked the provincial and local government units, partner agencies, and the participants for supporting the raffle-for-a cause.  “We hope this child-friendly area will serve as a model for other jail facilities nationwide and for its warden to take similar initiatives. Together, we can create a safer and more inclusive community for all as BJMP ensures the humane safekeeping of all persons deprived of liberty,” Sindol said.  Dalipog also congratulated the IDJ led by Warden Olosan for initiating projects not only for the good of the inmates but for their loved ones as well. – Florida Robles  ",child friendly area jail jail ifugao jail idj idj child friendly visitor area first cordillera bjmp cordillera jail chief sindol idj chief olosan gov dalipog gov first ifugao provincial force force led visitor area facility area jail idj child friendly children visit also child friendly create raffle cause idj facility idj provide children visit bjmp provide humane safekeeping pdls nationwide pdls visitors children bjmp visitor area conducive children visitors sindol idj conducive visitor area provincial raffle cause child friendly area jail nationwide warden create bjmp humane safekeeping sindol dalipog also idj led warden olosan
103,"27 Abra OFWs, kin get cash aid","APRIL 9, 2023","  BANGUED, Abra – The Overseas Workers Welfare Administration recently awarded financial assistance to 27 Abrenian overseas workers and their dependents. OWWA Cordillera Program Research Division OIC Lourdes Estopacio and OWWA Abra Family Welfare Officer Karen Borreta led the distribution of checks amounting P10,000 to P120,000 each under the different welfare programs such as livelihood assistance, medical assistance, death benefits, scholarship assistance and humanitarian aid.  She encouraged OFWs, especially those with unfinished contracts and currently living in the province, to apply for welfare programs of OWWA. One of these programs is the “Balik Pinas, balik hanapbuhay,” which provides a package of livelihood support as immediate relief to returning OFWs amounting to a maximum P20,000 as a start-up or additional capital for livelihood Jodelee Talingdan, a beneficiary of  the OWWA scholarship program, expressed her thanks for the assistance that she received.  “I’m thankful with the financial assistance that I received from OWWA. This is truly a huge help for me,” she said. Talingdan has graduated Bachelor of Science in Medical Laboratory Science cum laude at the University of Northern Philippines last year. – Christian Allister Tubadeza  ",abra overseas workers welfare financial assistance overseas workers owwa program owwa abra welfare amounting welfare programs livelihood assistance medical assistance scholarship assistance ofws welfare programs owwa programs balik balik livelihood ofws amounting livelihood talingdan owwa scholarship program assistance received financial assistance received owwa talingdan science medical science
104,"Art exhibit , Burnham lighting mark city’s World Autism Day","APRIL 9, 2023","  In the continuing effort to showcase the talent of people with autism, the Autism Society of the Philippines, Autism Hearts Foundation in coordination with the Fashion Arts Autism Benefit (FAAB), and the Persons with Disability Affairs Office mounted on April 3 two separate events celebrating the 2023 World Autism Awareness Day.
One event is the launching of an art exhibit by members of the FAAB at the Manor and wearing of blue and lighting of blue-colored lights at the Burnham Lake.
Blue is associated with calmness and acceptance is the designated color for people on the autism spectrum. The color was popularized by Autism Speaks, an autism awareness organization based in the United States.
In speeches delivered by Mayor Benjamin Magalong, he said people with autism could live with dignity and need not be a burden to anyone if they are fully accepted and given support so they will have a chance to thrive in society.
“They have a right to live with dignity…they have to be given the right intervention and support so they can live a fulfilling life and contribute immensely to society,” the mayor said during the opening of the art exhibit at The Manor.
People who have been supporting the causes for people with autism also said that if more people allow those with special needs to flourish in the areas where they excel, they become productive members of the society and less dependent on their guardians or parents.
Camp John Hay Leisure Management Inc. General Manager Ramon Cabrera said it was only recently when he personally witnessed that despite their condition, people with autism can excel if they are provided with the avenue within which to showcase their intellect, talent, and skills.
In November last year, a mural made by people with autism was unveiled at the Manor as part of the hotel’s Enchanted Holiday’s event.
Cabrera said the mural, done by a small group and mentored by volunteer artists and teachers of SPED Baguio, was finished in only four weeks – proof that with proper guidance, they can accomplish something worthwhile.
“They have dreams. They want to be someone in the community someday. Those who are verbal are able to express their aspirations. And those who are non-verbal have become the voices of their groupmates who cannot speak. They want to be seen, they want to be heard. And I think they deserve to be,” Cabrera said and assured that The Manor, the Camp John Hay Golf Club, and the Camp John hay Development Corporation will continue to support people with autism.
CHJDevCo Chief Executive Officer Robert John Sobrepeña and his wife, Lissa, are supporters and organizers of the FAAB for the benefit of people with autism.
Cabrera said more people can be helped if the community, not just a small group, will help.
“There are many autistic individuals out there. We can only do so much. We need your help so that these autistic individuals get to as far as where they want to be. Because they can. We just need to believe they can,” Cabrera said.
The Manor Resident Manager Christine Cua added acceptance begins with changing our perception of “curing” or “converting” autistic people and instead focus our time, energy, and resources on accepting, supporting, and including autistic people and advocating for their rights.
“This way, we help enable our autistic people to claim their dignity and self-esteem, avoid being made fun of, and to become fully integrated as valued members of the community,” Cua said.
She said we in the “normal spectrum” need to discover and tap their strengths, provide opportunities to use these strengths, and make them more visible by including them in community events so that they and their families and us can meet halfway to make a better place for everyone.
Cua said the levels of acceptance and awareness about autism vary but said their common cause is they are aware that their condition should not be used as an entitlement, and hence should be given space to prove that they can be somebody.
“Let us give their parents that there is a kinder world when the time comes that they have to leave their autistic children behind. They are not asking for the moon. All they ask for is to be accepted, to be included. Let us give them a chance,” Cua said.
Councilor Art Allad-iw, chair of the committee on employment, livelihood, cooperatives and persons with disability, who also attended the exhibit launching at The Manor, thanked the groups advocating and supporting the causes of people with autism.
He said Baguio already has policies in place to safeguard and support people with disability, but he admits that more needs to be done for the sector.
“We need to realize the motto – No one should be left behind,” Allad-iw said, vowing to continue advancing the needs of PWDs through more legislations.
As support, Councilor Leandro Yangot Jr. donated easels and acrylic paints, while the Camp John Hay Golf Club donated P150,000 to the FAAB for its continuing project of training artistically-inclined people with autism. – Rimaliza A. Opiña  ",continuing showcase talent people autism autism society autism autism benefit faab persons disability events world autism awareness one event launching art exhibit members faab manor blue blue blue acceptance color people autism spectrum color autism autism awareness mayor said people autism live dignity need fully accepted given support chance society right live dignity given right support live society mayor said art exhibit manor people supporting causes people autism also said people needs excel become members society parents camp john hay manager cabrera said condition people autism excel showcase talent mural made people autism manor event cabrera said mural done small group baguio want community verbal verbal become want want cabrera said manor camp john hay golf club camp john hay continue support people autism john faab benefit people autism cabrera said people community small group help autistic individuals need help autistic individuals want need cabrera said manor manager cua acceptance autistic people time supporting including autistic people advocating help autistic people dignity made become fully members community cua said said spectrum need strengths strengths make including community events make place cua said acceptance awareness autism said condition given let give parents world time autistic behind accepted let give chance cua said councilor art allad persons disability also exhibit launching manor advocating supporting causes people autism said baguio place support people disability needs done need one behind allad said continue needs support councilor donated camp john hay golf club donated faab continuing people autism
105,DND commits to advance welfare of Filipino veterans,"APRIL 9, 2023","  The Department of National Defense reaffirmed its commitment to promote the welfare and well-being of all Filipino veterans. This as the country marked the start of the commemoration of the Philippine Veterans Week (PVW) which runs until April 12. In a statement, DND chief Carlito Galvez Jr. said he is profoundly grateful to the veteran leaders and support institutions, partner organizations, as well as the youth sector for their participation in honoring the memory of the Filipino patriots. “Napakahalaga ng sama-sama nating pagbabalik-tanaw sa mga naiambag ng ating mga beterano sa ating natatanging kasaysayan, kasalukuyan at kinabukasan,” he said. Galvez said one of the DND’s legislative priorities is the bill seeking to create the Philippine Veterans Authority by integrating the functions of agencies mandated to serve veterans such as Philippine Veterans’ Affairs Office, the Philippine Veterans Assistance Commission, and the Board of Trustees of the Veterans of World War II. He added the DND is pushing for the enactment of House Bill 2490 or “An Act Rationalizing the Disability Pension of Veterans,” which aims to uplift the lives of disabled veterans, who incurred military service-connected disability, sickness and injury. Under the measure, disability pension rates would be increased to P4,500 for the lowest disability rating and up to P10,000 for the highest disability rating. This would translate to a 488 percent increase from the current disability pensions rates ranging from P1,000 to P1,700 under Republic Act 6948 which was enacted in 1990. Guided by President Ferdinand Marcos Jr.’s vision of a stronger and better Philippines through economic recovery, national unity and nation-building, Galvez assured the stakeholders that the government will always side with the welfare and livelihood of the men and women in uniform. “Be assured that the One Defense Team always puts importance on the well-being of our veterans, soldiers, and civilian human resource,” the DND chief said. This year’s PVW carries the theme, “Kagitingan ng mga beterano, pundasyon ng nagkakaisang Pilipino” and calls for unity and solidarity as Filipinos are reminded of the value of working together and sharing in the burdens of the people. – PNA  ",national defense welfare well filipino veterans philippine veterans pvw dnd chief galvez said well filipino sama sama mga ating mga beterano ating said galvez said one dnd bill philippine veterans veterans philippine veterans philippine veterans veterans dnd bill act disability pension veterans veterans disability disability pension rates would disability rating disability rating would disability rates act national unity galvez assured always welfare assured one defense always well veterans dnd chief said pvw mga beterano unity
106,"Benguet son, 2 others receive medals for exemplary service","APRIL 9, 2023","  Three police personnel of the Lanao del Sur Police Provincial Office (LDS PPO) received last month at the Philippine National Police headquarters in Camp Crame, Quezon City the prestigious Medalya ng Kagitingan award from PNP Chief Gen. Rodolfo S. Azurin Jr. during the flag raising ceremony and awarding of PNP personnel with significant accomplishments.  Azurin and Armed Forces of the Philippines Chief of Staff Gen. Andres C. Centino, who was guest of honor and speaker, commended the awardees, namely Col. Robert S. Daculan, provincial director of the Lanao del Sur PPO who hails from Benguet, along with Lt/Col. Christopher O. Adiong and Cpl. Arafat B. Unte. Daculan and his men were called to Camp Crame to receive their awards for arresting the suspects in the ambush of Lanao del Sur Gov. Mamintal Adiong, Jr. at Delimbayan, Maguing on Feb. 17. While on his way to Wao town in Lanao del Sur, unidentified gunmen ambushed the convoy of Adiong. The governor, along with two others, was wounded but four of his security escorts died in the ambush. Arrest warrants for four counts of murder, three counts of frustrated murder, and multiple attempted murder were successfully served by Daculan and his team against the suspects. Azurin cited them for “having gone above and beyond the call of duty to serve and protect the entire province,” with Daculan directly supervising the operation in pursuing the suspects. The suspects, who were arrested on March 10 at Kalilangan, Bukidnon, were identified as Palawan Salem Macalbo, who had several standing warrants for murder and frustrated murder; Nagac Dimatingkal Baratomo, and Amirodin Dimatingcal Mandoc. – Press release  ",three police personnel lanao del sur police provincial ppo police camp crame pnp chief gen azurin pnp personnel azurin chief gen col daculan provincial lanao del sur ppo along col adiong daculan camp crame suspects ambush lanao del sur adiong lanao del sur adiong along four ambush warrants four counts murder three counts frustrated murder murder daculan suspects azurin daculan suspects suspects warrants murder frustrated murder
107,MAN-IYAMAN AWARDEE,"APRIL 9, 2023",MAN-IYAMAN AWARDEE — The Regional Mobile Force Battalion 15 under OIC Lt/Col. Ruel Tagle received a plaque of recognition during the Man-Iyaman recognition program of the Cordillera Career Development College on April 3. The RMFB 15 has been recognized for its significant contribution in ensuring the holistic development of students by providing hands-on training and implementation of programs like the Basic Youth Leadership Training. — CCDC photo   ,man iyaman recognition man iyaman recognition development development training training
108,"Harmonization of policies in DepEd, CHED, TESDA pushed","APRIL 9, 2023","  Senator Sherwin Gatchalian has filed a measure seeking to strengthen the country’s educational system through the creation of the National Education Council (Nedco) that will promote a culture of long-term, strategic and collaborative planning among the three education sub-sectors. In a press statement, Gatchalian said Senate Bill 2017 or the National Education Council Act, shall create the Nedco to institutionalize a system of national coordination, planning, monitoring, evaluation and management among the Department of Education, the Commission on Higher Education, and the Technical Education and Skills Development Authority. In pushing for the measure, the chairperson of the Senate Committee on Basic Education said the tri-focalization of the country’s education system in 1994 – CHED to handle higher education; Tesda to handle technical and vocational education; and DepEd to focus on basic education – was intended for the agencies to focus on their basic mandates to deliver and produce the outcomes expected of them. “While tri-focalization led to greater focus and depth in sub-sectors’ planning and implementation of development programs, the Presidential Commission on Educational Reform (PCER) created in 1998 flagged how it resulted in possible overlaps, gaps, inconsistencies in and non-alignment of policies, plans, and programs,” Gatchalian said. He said through the proposed Nedco, the country will strengthen the coordination among different government agencies to uplift the quality of education. SB 2017 seeks the formulation of a national education agenda, which shall be anchored on national development plans. It shall establish, among others, the country’s strategic vision for education, long-term and medium-term goals, strategies for a coordinated and coherent implementation, and recommendations on the corresponding investments and appropriations. The Nedco’s powers and functions will include the implementation of an action agenda for the development of the country’s capacity for and success in education as measured by indices and measures such as the National Achievement Test, Program for International Student Assessment, Education Index, Education for All Development Index, and others it may deem appropriate in measuring growth and development of the education sector. The three sub-sectors, concerned government agencies and concerned stakeholders shall strictly comply with the national education agenda, and shall incorporate its pertinent policies in their respective programs. Under the proposed measure, the President of the Philippines will be the chairperson of Nedco while the DepEd Secretary, CHED chairperson, and Tesda director-general will serve as co-chairpersons. Other members of the council will be the Senate President, the Speaker of the House of Representatives, and selected members of the Cabinet. The bill further provides the national education agenda shall have a minimum five-year horizon, to be updated annually and reviewed periodically by the Nedco. – PNA  ",gatchalian measure strengthen country educational system national education council nedco long term strategic planning among three education sub sectors gatchalian said senate bill national education council shall nedco system national coordination planning among education commission higher education technical education development measure chairperson senate basic education said tri focalization country education system ched handle higher education tesda handle technical education deped focus basic education agencies focus basic tri focalization focus sub sectors planning implementation development programs commission educational policies plans programs gatchalian said said proposed nedco country strengthen coordination among government agencies education national education agenda shall national development plans shall among others country strategic education long term term implementation nedco implementation agenda development country education national education index education development index others development education three sub sectors concerned government agencies concerned shall national education agenda shall policies programs proposed measure president chairperson nedco deped ched chairperson tesda members council senate president members bill national education agenda shall nedco
109,Milestones achieved in GAD government workplaces,"APRIL 9, 2023","  This year’s celebration of National Women’s Month in March saw the Civil Service Commission achieve several milestones in promoting gender equality in government service, CSC chairperson Karlo Nograles reported. Nograles said the agency’s month-long series of activities, which was highlighted by the “Piknik sa Kalikasan” on March 31, reinforced their collective commitment in strengthening the full participation of women in all levels, especially in decision-making and leadership posts. “We should take pride in this unique culminating activity as this reflects decades of gender advocacy efforts of the CSC and the leading role that the Commission plays in promoting gender equality in the entire bureaucracy, be it in the aspect of policymaking, technical assistance, or the implementation of our various programs and projects,” he said. Nograles said CSC’s gender and development mainstreaming efforts have led to the establishment of programs and policies in support of landmark laws for the protection of women in the workplace. This includes the promulgation of the disciplinary rules on sexual harassment cases that is considered as a landmark issuance of the CSC. The issuance provides consistent and uniform rules and procedures on investigation, prosecution, and resolution of sexual harassment cases in the government. The policy is also aimed at providing a safe and inclusive workplace for civil servants. The CSC also marked a number of milestones for the provision of work-life balance through the adoption of flexible working hours and expansion of leave privileges for both men and women, he said. “Along with being a gender-responsive human resources institution, our goal is to ensure equal opportunities for all,” Nograles said. Meanwhile, CSC Assistant Commissioner Victoria Esber gave an overview of the Prime HRM, or Program to Institutionalize Meritocracy and Excellence in Human Resource Management, where she emphasized the need to use a gender lens in the core HRM areas of recruitment, selection and placement, rewards and recognition, performance management, and learning and development. During the second half of the program, country delegates shared their best practices and programs on gender mainstreaming in the public sector. – PNA  ",women month civil service commission milestones promoting gender equality government service csc nograles nograles said month women gender efforts csc commission promoting gender equality programs said nograles said csc gender development mainstreaming efforts programs landmark women workplace rules sexual harassment cases landmark issuance csc issuance rules sexual harassment cases government also workplace civil csc also milestones women said gender human nograles said csc hrm program human management gender hrm management development program programs gender mainstreaming
110,CHR’s view on IED use hailed,"APRIL 9, 2023","  An official of the National Task Force to End Local Communist Armed Conflict (NTF-Elcac) lauded the Commission on Human Rights’ condemnation of the New People’s Army over its continued use of improvised explosive devices (IEDs). In a statement, NTF-Elcac secretariat executive director Undersecretary Ernesto Torres Jr. said the rebels’ continued use of the weapon is a wanton violation of the International Humanitarian Law (IHL). He added the CHR’s unequivocal rebuke of the NPA is most welcome, especially since the IEDs were detonated near schools which caused trauma to learners. “We are in solidarity with the CHR in condemning the NPA’s vicious acts and violation of the IHL. The NPA’s use of IEDs in zones of peace, such as schools, exhibit their moral depravity and blatant disregard for the lives of the Filipino people, particularly the Filipino youth and students,” Torres said. In an April 3 statement, the CHR scored the NPA for launching attacks and detonating IEDs near schools that are “peace zones” and must be free from threats of harm. “This violent act goes directly against the very principles of the IHL. We further note that according to news reports, the IED was detonated near a public elementary school in Barangay Locso-on, leaving two soldiers and a minor injured,” it added. The CHR added the United Nations Human Rights Council had previously observed that “the continued use by NPA of mines and IED that kill and maim civilians in wanton violation of IHL is unacceptable.” In the recent clash between government forces and communist terrorists in Placer, Masbate, the NPA placed several IEDs near a public school, indiscriminately targeting soldiers and civilians. “No ideology can justify the endangerment of the right to life, liberty, and security of the Filipino people. We have always called for the end of armed conflict and the grave consequences it imposes upon those involved and those affected. Time and again, we have witnessed the harrowing impacts and violations to the fundamental human rights and dignity these encounters bring to society,” the CHR added. Torres assured the public the NTF-Elcac is in accordance with the CHR’s call for a just and peaceful resolution of the armed conflict and denunciation of all forms of violence and terroristic acts that endanger the lives of the Filipino people. – PNA  ",end communist armed conflict ntf elcac human rights people continued use ieds statement ntf elcac torres said continued use wanton violation ihl added chr npa ieds detonated near schools chr npa acts violation ihl npa use ieds zones peace schools lives filipino people filipino torres said statement chr npa ieds near schools peace zones ihl ied detonated near public school soldiers added chr added human rights continued use npa ied civilians wanton violation ihl communist npa ieds near public school soldiers civilians filipino people end armed conflict human rights chr added torres public ntf elcac chr armed conflict acts lives filipino people
111,Market fire damage pegged at P40 million,"APRIL 9, 2023","  The five-hour fire that gutted Blocks 3 and 4 of the city public market last March 11 caused a total of P39.8 million worth of damage, according to the City Disaster and Risk Reduction Management Office.
CDRRMO Officer-in-Charge Antonette Anaban said the latest estimated damage to public and private properties was a result of the post-disaster assessment conducted by the local government.
She said the estimated damage cost to the structures including depreciation cost was set at P27M, the burned vehicle of the Public Order and Safety Division – P1.49M, damaged goods – P10.8M, damaged power lines – P72,000, and perimeter streetlights – P104,000 or a total P39.8M.
On the foregone losses that included the lost income of vendors and the revenue of the local government, Anaban said the same was estimated to be around P6.150M broken down into: P5.1M lost income of vendors computed at the daily rate of P400 multiplied by the number of affected vendors and P1.050M in terms of arrival fees collected by the local government.
Anaban said the city government also incurred unexpected expenses, particularly on the relocation of vendors amounting to P8M and logistical expenses amounting to P375,000 or a total of P8.375M.
In terms of food packs, the local government received around P3.556M from donors, particularly P2.091M worth of food packs from Sen. Sherwin Gatchalian; P700,000 worth of canned goods from Sen. Christopher Lawrence Go; P520,000 worth of rice packs from Sen. Robinhood Padilla; and P245,000 worth of rice bags from Vice President Sara Duterte.
For the Assistance to Individuals in Crisis Situation, P14.1M was distributed by the Department of Social Welfare and Development.
Some 350 recipients also received financial assistance from the government’s Sustainable Livelihood Program. – PIO release  ",city public total worth damage city disaster anaban said estimated damage public disaster local government said estimated damage cost cost public damaged goods damaged total lost income vendors local government anaban said estimated around lost income vendors vendors terms local government anaban said city government also expenses particularly vendors amounting expenses amounting total terms food packs local government received around particularly worth food packs sen worth goods sen worth rice packs sen worth rice assistance also received assistance government
112,"Stone Kingdom now open, with conditions","APRIL 9, 2023","  The management of the reopened Stone Kingdom, which became a hit destination in Baguio City, is expected to come up with innovations to minimize crowd and address traffic congestion along Longlong Road at Pinsao Pilot.
Baguio City Tourism Officer Alec Mapalo said the reopening of Stone Kingdom, whose operations was halted in November last year, is subject to conditions, which the management must comply with for it to be issued a permit.
Mapalo said the reopening of the facility is covered by a provisional permit and management must comply with the conditions, among which is the traffic mitigation plan to address congestion along the road that serves as an alternate route for motorists coming from Baguio to La Trinidad and vice versa. The provisional permit is good for 90 days.
He said the traffic mitigation plan must be consulted and verified with the Baguio City Police Office, Traffic Division of the City Engineering Office, and the Department of Public Works and Highways.
Mapalo said the management has also presented a plan on how to manage the number of people entering the area.
“There is a plan of coming up with an online booking system to allow real-time monitoring of people and cars entering the area,” he said.
The city government has ordered the closure of Stone Kingdom for permit violations and safety concerns, but the City Prosecutor’s Office has dismissed the case filed against the theme park’s management, saying the latter has complied with the requisites of acquiring business permits.
Mapalo said the incident surrounding Stone Kingdom encouraged innovations that can be adopted by the city government in terms of business permit issuance and ensuring sustainability of tourist attractions.
He added the Stone Kingdom closure highlighted the need of ensuring the sustainability of tourist areas.
“With the experience we had with Stone Kingdom, the City Planning, Development, and Sustainability Office will make it a requirement for business permits applicants to validate their zoning and if an area has a potential or has been declared a tourist site, they need to consult with our office in terms of sustainability practices, including parking, to help their business become sustainable,” Mapalo said. – Jane B. Cadalig  ",management stone kingdom baguio city innovations address traffic congestion along road baguio city mapalo said reopening stone kingdom conditions management must comply permit mapalo said reopening provisional permit management must comply conditions traffic mitigation plan address congestion along road coming baguio provisional permit said traffic mitigation plan must baguio city office traffic city office mapalo said management plan people entering area plan coming people entering area said city government closure stone kingdom permit city office management business permits mapalo said stone kingdom innovations city government terms business permit ensuring sustainability tourist stone kingdom closure need ensuring sustainability tourist stone kingdom city sustainability office business permits area tourist need office terms sustainability business mapalo said
